Date,Q,Month,TKNConcDay,TKNConcmm,TKNFluxDay,TKNFNConc,TKNFNFlux,NO3ConcDay,NO3Concmm,NO3FluxDay,NO3FNConc,NO3FNFlux,TPConcDay,TPConcmm,TPFluxDay,TPFNConc,TPFNFlux,TNTPRatio
1974-10-01,608.8121969,10,0.54912133,0.03920419,28884.53635,0.612025289,20459.34091,0.081529067,0.005820719,4288.540918,0.08496672,2878.076999,0.130755327,0.004221487,6877.909858,0.153137331,5130.240761,10.66565203
1974-10-02,611.6438816,10,0.548933032,0.039190747,29008.93225,0.614159882,20339.02768,0.082151604,0.005865165,4341.386233,0.085741733,2880.432933,0.130801332,0.004222972,6912.331268,0.153957122,5114.7013,10.66924216
1974-10-03,605.9805123,10,0.549672398,0.039243533,28779.04177,0.617491441,20040.287,0.083020068,0.005927168,4346.658125,0.086721126,2856.069863,0.131219915,0.004236486,6870.243854,0.155203328,5055.087818,10.66230351
1974-10-04,603.1488277,10,0.550077741,0.039272473,28665.68352,0.62106836,19723.54973,0.083852525,0.005986601,4369.727713,0.087721539,2827.228365,0.13150418,0.004245664,6852.953548,0.156526902,4989.767867,10.66007007
1974-10-05,608.8121969,10,0.549479218,0.039229741,28903.36175,0.621132008,19622.69244,0.084575324,0.006038205,4448.778258,0.088561975,2837.800993,0.131385702,0.004241839,6911.068439,0.156695024,4967.923854,10.67177454
1974-10-06,611.6438816,10,0.549219299,0.039211185,29024.0603,0.624184146,19404.75779,0.085334852,0.006092431,4509.608291,0.089520482,2823.220496,0.131403237,0.004242405,6944.139593,0.157849787,4922.580723,10.67875826
1974-10-07,608.8121969,10,0.549620714,0.039239843,28910.80464,0.626755885,19157.55497,0.086166992,0.006151841,4532.502136,0.090467181,2804.83974,0.131685855,0.004251529,6926.856877,0.158892988,4869.280321,10.67655467
1974-10-08,611.6438816,10,0.549362432,0.039221403,29031.62432,0.629141079,18980.27242,0.086926477,0.006206064,4593.719319,0.091385516,2797.456105,0.13170419,0.004252121,6960.043755,0.159845272,4833.007426,10.6834837
1974-10-09,614.4755662,10,0.549107304,0.039203189,29152.48504,0.631395666,18853.62395,0.087686087,0.006260296,4655.314776,0.092298387,2798.279711,0.131723932,0.004252759,6993.314297,0.160756172,4809.886032,10.69035165
1974-10-10,614.4755662,10,0.549179685,0.039208356,29156.32782,0.633822093,18736.58284,0.088481878,0.006317111,4697.563861,0.093240175,2798.330542,0.131874807,0.00425763,7001.324338,0.161585869,4789.592476,10.6926791
1974-10-11,617.3072508,10,0.548928495,0.039190423,29277.29149,0.634246154,18723.84201,0.089241591,0.00637135,4759.731181,0.094112195,2814.731551,0.131896341,0.004258325,7034.737042,0.161710326,4791.347538,10.69945917
1974-10-12,614.4755662,10,0.549324448,0.039218692,29164.01338,0.635043824,18642.98027,0.09007346,0.006430741,4782.06203,0.094971471,2823.097307,0.132176556,0.004267372,7017.34442,0.162122687,4776.663465,10.69731807
1974-10-13,603.1488277,10,0.550699635,0.039316872,28698.09169,0.639243211,18361.74862,0.091015415,0.006497991,4743.000665,0.095972661,2798.856969,0.132847614,0.004289037,6922.962662,0.163725249,4723.354799,10.68185298
1974-10-14,586.1587198,10,0.552764509,0.039464293,27994.26845,0.642989196,18084.97784,0.0920359,0.006570848,4661.076547,0.096994629,2773.9578,0.133793305,0.004319569,6775.843309,0.165134217,4666.935332,10.65734566
1974-10-15,572.0002966,10,0.554532098,0.039590489,27405.43414,0.646572865,17736.47804,0.093024225,0.006641409,4597.333996,0.098053793,2727.118547,0.134619524,0.004346244,6653.008042,0.166195348,4594.867509,10.63720739
1974-10-16,560.6735581,10,0.555981781,0.039693988,26932.97808,0.652123014,17376.53022,0.093977751,0.006709486,4552.488567,0.099192525,2679.945467,0.135318249,0.004368802,6555.113048,0.16813279,4521.884313,10.62155442
1974-10-17,557.8418735,10,0.556388977,0.039723059,26816.57877,0.656150673,17187.53771,0.094813836,0.006769177,4569.793436,0.100279487,2653.524388,0.135601041,0.004377933,6535.636325,0.169529159,4483.006557,10.61967859
1974-10-18,555.0101888,10,0.556796167,0.039752131,26699.97998,0.660306963,16949.02759,0.09565017,0.006828887,4586.701172,0.101380283,2623.613613,0.13588367,0.004387057,6516.01337,0.170871747,4437.33859,10.61782736
1974-10-19,543.6834503,10,0.558272609,0.03985754,26224.43717,0.66025888,16899.83137,0.096608989,0.006897341,4538.134824,0.102259634,2637.312435,0.136591597,0.004409913,6416.28783,0.170786248,4426.678245,10.60222302
1974-10-20,546.5151349,10,0.557966052,0.039835654,26346.54749,0.661711291,16797.10609,0.097364366,0.006951271,4597.439002,0.103202126,2648.517025,0.136589811,0.004409855,6449.621659,0.171345997,4406.854467,10.60962793
1974-10-21,555.0101888,10,0.556959446,0.039763788,26707.80965,0.662324266,16772.86818,0.098038952,0.006999433,4701.250112,0.104090865,2669.166543,0.136309966,0.00440082,6536.455463,0.171588012,4404.585795,10.62602319
1974-10-22,572.0002966,10,0.554950316,0.039620347,27426.1028,0.663225296,16760.4369,0.098597074,0.007039279,4872.7488,0.104996348,2685.344129,0.135632413,0.004378945,6703.065848,0.171915492,4400.795544,10.65544828
1974-10-23,600.317143,10,0.551711851,0.039389139,28615.85988,0.663629708,16770.18413,0.099011369,0.007068858,5135.46241,0.105866246,2704.490244,0.134467833,0.004341346,6974.497042,0.17208436,4403.726286,10.7012874
1974-10-24,600.317143,10,0.55178012,0.039394013,28619.40083,0.665756431,16690.30666,0.099807268,0.00712568,5176.743591,0.106829771,2705.453519,0.134616698,0.004346153,6982.218266,0.172850204,4389.804374,10.70364918
1974-10-25,563.5052427,10,0.555564605,0.039664204,27048.69224,0.663463032,16768.68949,0.101191754,0.007224525,4926.708046,0.10764658,2748.051672,0.136452383,0.004405418,6643.437093,0.172396393,4409.59106,10.64342227
1974-10-26,492.7131268,10,0.565677352,0.040386197,24081.11915,0.659766684,16904.06043,0.103089983,0.007360048,4388.583253,0.108442711,2806.643511,0.140895944,0.004548881,5997.998671,0.171341166,4444.486587,10.49626272
1974-10-27,464.3962804,10,0.570224058,0.040710807,22879.57807,0.657770724,17016.38817,0.104401726,0.007453699,4188.997988,0.10935226,2867.28331,0.143154777,0.004621808,5743.919158,0.171214174,4476.382747,10.42113979
1974-10-28,467.2279651,10,0.568545389,0.040590959,22951.32235,0.650890297,17225.00775,0.105295904,0.007517538,4250.637288,0.109924807,2945.533744,0.143006766,0.004617029,5772.968074,0.169035275,4523.585248,10.41979479
1974-10-29,487.0497575,10,0.563606115,0.040238323,23717.16475,0.648706032,17176.26733,0.10597268,0.007565856,4459.446833,0.110813065,2967.524011,0.141581157,0.004571003,5957.890706,0.168621104,4517.260922,10.45813788
1974-10-30,492.7131268,10,0.561492934,0.040087453,23902.98674,0.641622911,17326.39903,0.106838651,0.007627682,4548.165636,0.111379173,3037.641693,0.141252913,0.004560405,6013.194986,0.166714899,4551.98015,10.46291519
1974-10-31,509.7032346,10,0.557391916,0.039794664,24546.62558,0.640552155,17284.17431,0.107572809,0.007680097,4737.330017,0.112310418,3062.979989,0.140136308,0.004524355,6171.373106,0.166800303,4547.439809,10.49315447
1974-11-01,523.8616578,11,0.553943973,0.0395485,25072.41668,0.63744624,17368.10321,0.108351119,0.007735664,4904.150144,0.113102889,3114.845955,0.139267642,0.00449631,6303.482882,0.166172719,4569.738746,10.51621471
1974-11-02,538.020081,11,0.551074652,0.039343646,25616.66938,0.635805814,17358.45251,0.109101671,0.007789249,5071.584099,0.113975259,3143.629313,0.13858171,0.004474165,6441.9618,0.165974722,4572.552223,10.53445707
1974-11-03,549.3468196,11,0.548907905,0.039188953,26053.12616,0.634881695,17320.67103,0.109874796,0.007844446,5215.049524,0.114922953,3169.142981,0.138150971,0.004460258,6557.137633,0.16602523,4572.132415,10.5449949
1974-11-04,535.1883964,11,0.549474848,0.039229429,25407.86943,0.634325526,17198.36462,0.111030605,0.007926964,5134.085979,0.115895651,3175.458225,0.13893918,0.004485706,6424.586248,0.166179601,4558.811705,10.51259189
1974-11-05,504.0398654,11,0.55329266,0.039502,24095.36662,0.633050148,17074.1548,0.11233522,0.008020106,4892.091473,0.116832262,3182.033925,0.141010806,0.004552589,6140.885827,0.166242832,4539.323219,10.43847946
1974-11-06,478.5547036,11,0.556605998,0.039738554,23014.05856,0.629593251,17094.30184,0.113558536,0.008107444,4695.319155,0.117629951,3221.411616,0.142867171,0.004612522,5907.146982,0.165544381,4560.281009,10.37306563
1974-11-07,455.9012265,11,0.559526183,0.039947038,22039.66136,0.63034416,16971.37995,0.114754741,0.008192846,4520.173887,0.118684208,3224.550763,0.144581204,0.004667861,5695.034255,0.166141194,4550.835976,10.31305102
1974-11-08,458.7329112,11,0.557891329,0.039830319,22111.757,0.628789512,16995.36191,0.115652438,0.008256937,4583.829281,0.119600294,3259.484152,0.144442568,0.004663385,5724.912372,0.166043736,4575.444011,10.31166391
1974-11-09,453.0695419,11,0.55776398,0.039821227,21833.78725,0.625938819,17060.90338,0.116648405,0.008328043,4566.226117,0.120426381,3300.164318,0.144923898,0.004678925,5673.076202,0.165426482,4596.90622,10.29067019
1974-11-10,461.5645958,11,0.555155485,0.039634995,22139.1461,0.623541315,17251.74777,0.117482999,0.008387629,4685.125801,0.121283862,3366.699683,0.144380065,0.004661367,5757.758743,0.164949916,4646.405083,10.30226244
1974-11-11,478.5547036,11,0.551215858,0.039353728,22791.19174,0.619170267,17692.8207,0.118231971,0.008441101,4888.552255,0.121971846,3486.254276,0.143273791,0.00462565,5923.95954,0.163807506,4763.549935,10.33256427
1974-11-12,504.0398654,11,0.546144125,0.038991634,23784.05474,0.615784096,18251.42138,0.118908924,0.008489432,5178.370009,0.122765738,3582.039593,0.141678709,0.004574152,6169.972368,0.163091385,4928.135684,10.38029819
1974-11-13,521.0299732,11,0.542607397,0.038739132,24426.55158,0.61243581,18810.09191,0.119686164,0.008544922,5387.910795,0.123577488,3700.546663,0.140711974,0.004542941,6334.429499,0.162501533,5079.653702,10.40824737
1974-11-14,529.5250271,11,0.540413026,0.038582466,24724.41601,0.607382554,19429.2744,0.120550498,0.008606631,5515.301315,0.124212204,3839.771112,0.14030263,0.004529725,6418.980323,0.161179782,5225.353672,10.41765121
1974-11-15,586.1587198,11,0.53474462,0.038177773,27081.66716,0.606932198,19894.76799,0.120635326,0.008612687,6109.469123,0.125106695,3953.645361,0.137898716,0.004452114,6983.758195,0.161178816,5338.99295,10.50971784
1974-11-16,628.6339894,11,0.530713578,0.03788998,28825.16489,0.60429675,20295.09564,0.120983247,0.008637527,6571.081249,0.125905004,4046.471407,0.136295425,0.004400351,7402.746535,0.160481072,5462.11839,10.57358977
1974-11-17,642.7924126,11,0.527806047,0.037682398,29312.90402,0.600318964,20622.26883,0.121708645,0.008689316,6759.365226,0.126630382,4156.144889,0.135894446,0.004387405,7547.205805,0.160047118,5565.783648,10.56927994
1974-11-18,645.6240972,11,0.525423644,0.037512308,29309.14075,0.594179403,21304.93252,0.122579456,0.008751487,6837.71764,0.127131122,4363.653659,0.135939678,0.004388866,7582.976504,0.158929667,5734.375447,10.54117389
1974-11-19,656.9508358,11,0.522523597,0.037305261,29658.72789,0.590625462,22070.79231,0.123342018,0.00880593,7000.961043,0.12779186,4604.795584,0.135671137,0.004380196,7700.768651,0.15847454,5904.16525,10.52719892
1974-11-20,673.9409436,11,0.519355548,0.03707908,30241.29323,0.586750574,22628.89048,0.124038385,0.008855647,7222.568815,0.128529116,4818.659453,0.135210983,0.004365339,7873.132376,0.1581149,6051.223797,10.52260146
1974-11-21,688.0993668,11,0.516443769,0.036871195,30703.50407,0.581162609,22681.48549,0.124776192,0.008908322,7418.167394,0.129215657,4903.600339,0.134871258,0.004354371,8018.337094,0.157415278,6089.088637,10.51346211
1974-11-22,736.2380056,11,0.510948217,0.036478843,32501.90847,0.57821568,22633.05519,0.124889024,0.008916377,7944.31116,0.13000721,4970.572812,0.133622564,0.004314057,8499.86008,0.157459303,6106.36429,10.52262974
1974-11-23,773.0499059,11,0.506552383,0.036165006,33833.3995,0.571626971,22371.62334,0.125205779,0.008938992,8362.683241,0.130514596,5011.218953,0.132782949,0.004286949,8868.773943,0.156531843,6112.274615,10.52123401
1974-11-24,787.208329,11,0.503793607,0.035968044,34265.42125,0.565174447,22716.76788,0.125890433,0.008987872,8562.412555,0.131110975,5183.992393,0.132577075,0.004280303,9017.203166,0.15542267,6224.443603,10.50297626
1974-11-25,792.8716983,11,0.501604561,0.035811759,34361.97643,0.559676845,23631.08126,0.126707406,0.0090462,8679.978651,0.131577774,5468.327695,0.132597885,0.004280975,9083.500761,0.154153064,6425.709563,10.4784456
1974-11-26,804.1984369,11,0.499129699,0.035635067,34680.90155,0.555732675,23941.85153,0.127437648,0.009098335,8854.717572,0.132320416,5621.289844,0.132475837,0.004277034,9204.784807,0.153668572,6511.498419,10.45897717
1974-11-27,812.6934908,11,0.496861155,0.035473106,34887.95943,0.554176903,24031.3018,0.128211758,0.009153602,9002.608836,0.133246965,5716.133529,0.132430083,0.004275557,9298.805738,0.153969949,6560.592665,10.43763628
1974-11-28,821.1885447,11,0.494633969,0.035314097,35094.62153,0.550472123,23944.87747,0.128986188,0.009208892,9151.659088,0.134014473,5765.490172,0.132387488,0.004274182,9392.983671,0.153717002,6582.339393,10.41672819
1974-11-29,826.851914,11,0.492581007,0.035167527,35189.98979,0.547990616,23781.46373,0.129803348,0.009267233,9273.15185,0.134808915,5794.177313,0.132417459,0.004275149,9459.904002,0.153797595,6623.023751,10.39373276
1974-11-30,824.0202293,11,0.490936515,0.03505012,34952.39596,0.544611689,23903.58686,0.130748189,0.009334689,9308.66276,0.135639286,5916.78033,0.132656938,0.004282881,9444.556846,0.153564246,6747.55499,10.36330651
1974-12-01,824.0202293,12,0.489158035,0.034923146,34825.77644,0.541896046,24421.97903,0.131650461,0.009399106,9372.900396,0.136270041,6092.941035,0.132826712,0.004288362,9456.643957,0.153282767,6930.360508,10.33547308
1974-12-02,826.851914,12,0.487263635,0.034787897,34810.11673,0.537655831,25079.05316,0.132509661,0.009460448,9466.490916,0.136888352,6317.988038,0.132927238,0.004291608,9496.322631,0.15260862,7173.089071,10.31043546
1974-12-03,843.8420218,12,0.4848396,0.034614834,35348.66168,0.529704667,25443.08353,0.133155386,0.009506549,9708.086352,0.137440058,6525.479567,0.132687501,0.004283868,9673.973767,0.15104207,7329.756104,10.2994271
1974-12-04,872.1588682,12,0.482103452,0.034419489,36328.67723,0.523063506,25944.35553,0.133638832,0.009541065,10070.29088,0.138138055,6782.57654,0.132195015,0.004267968,9961.492735,0.149955333,7506.58345,10.30011396
1974-12-05,974.0995151,12,0.475661487,0.033959568,40032.71631,0.518575286,26713.243,0.13350865,0.009531771,11236.38147,0.138685028,7095.425935,0.130430071,0.004210986,10977.28147,0.148989652,7738.040377,10.328066
1974-12-06,1073.208477,12,0.469591192,0.033526183,43542.94302,0.516034477,27026.62947,0.133654266,0.009542167,12393.12024,0.139374244,7264.237827,0.129028348,0.004165731,11964.18095,0.149117842,7844.534278,10.3387267
1974-12-07,1019.406469,12,0.47067068,0.033603253,41455.1292,0.510197225,26688.34924,0.134953962,0.009634958,11886.30218,0.140180859,7255.944339,0.130050161,0.00419872,11454.39145,0.148226884,7791.256129,10.2979499
1974-12-08,945.7826687,12,0.472559771,0.033738123,38615.51588,0.50712766,26469.37437,0.136434199,0.009740638,11148.80552,0.141030173,7271.18057,0.131445131,0.004243757,10741.12074,0.148114711,7767.798686,10.24534572
1974-12-09,897.6440299,12,0.473090201,0.033775993,36691.1938,0.502869655,26330.46797,0.137764735,0.009835631,10684.54301,0.141803932,7319.68847,0.132484085,0.0042773,10274.99452,0.147667118,7771.963155,10.19606296
1974-12-10,869.3271835,12,0.471230324,0.033643208,35394.04774,0.499137339,26053.80427,0.138950853,0.009920313,10436.58031,0.14238429,7318.289269,0.133353009,0.004305354,10016.12696,0.147690711,7748.250993,10.11845298
1974-12-11,818.3568601,12,0.46978758,0.033540204,33216.81601,0.49529045,26120.36032,0.140473887,0.010029049,9932.351261,0.142893523,7427.987277,0.134776664,0.004351317,9529.523213,0.14739454,7811.234859,10.01288842
1974-12-12,753.2281134,12,0.468557446,0.03345238,30493.2074,0.490817682,26705.34244,0.142245881,0.01015556,9257.206763,0.143369522,7700.55432,0.136631536,0.004411202,8891.831292,0.146879426,7993.04486,9.885726112
1974-12-13,716.4162131,12,0.466572034,0.033310632,28880.04409,0.486092474,27406.19899,0.143586668,0.010251285,8887.779378,0.143915651,8006.349303,0.137831067,0.00444993,8531.517092,0.146313701,8176.496103,9.789349238
1974-12-14,699.4261053,12,0.464069151,0.03313194,28043.89159,0.481361578,27560.64495,0.144597243,0.010323434,8738.071495,0.144494478,8161.163501,0.138514342,0.00447199,8370.479249,0.146012195,8261.63529,9.717235098
1974-12-15,671.1092589,12,0.46144335,0.032944473,26756.25735,0.477133413,27729.53726,0.145627064,0.010396957,8444.016388,0.145091335,8336.916532,0.139565962,0.004505942,8092.570393,0.145765705,8363.230555,9.618728913
1974-12-16,659.7825204,12,0.458550116,0.032737912,26139.74558,0.471596591,28780.32432,0.146432681,0.010454474,8347.425679,0.145454754,8779.663957,0.140122584,0.004523912,7987.717282,0.144783259,8661.120479,9.547573683
1974-12-17,642.7924126,12,0.455626212,0.032529162,25304.2334,0.468480026,29268.7906,0.147276599,0.010514725,8179.339418,0.146090673,9051.701107,0.140857524,0.00454764,7822.841539,0.144777338,8831.727247,9.465103983
1974-12-18,628.6339894,12,0.4526398,0.032315949,24584.66752,0.465420806,28820.42425,0.148086938,0.010572579,8043.190504,0.146769306,9016.140683,0.141507182,0.004568615,7685.817767,0.145015895,8796.306124,9.38764398
1974-12-19,620.1389355,12,0.449610822,0.032099697,24090.14965,0.460714128,28969.61611,0.148844022,0.01062663,7975.063321,0.147360851,9180.50785,0.141976628,0.004583771,7607.108291,0.144447972,8949.061933,9.321217891
1974-12-20,600.317143,12,0.446502383,0.031877772,23158.91823,0.458668949,29102.52316,0.149677253,0.010686118,7763.370118,0.147958404,9300.134429,0.142815271,0.004610847,7407.456954,0.144721666,9035.755281,9.231252266
1974-12-21,577.6636659,12,0.443293786,0.031648696,22124.85526,0.455779175,29424.87269,0.150517245,0.010746089,7512.33689,0.148689018,9476.324592,0.143760693,0.00464137,7175.116408,0.144902396,9131.252166,9.13410994
