"","Date","Q","Julian","Month","Day","DecYear","MonthSeq","waterYear","Qualifier","i","LogQ","Q7","Q30","yHat","SE","ConcDay","FluxDay","FNConc","FNFlux"
"1",1971-10-01,44.7406172625102,44467,10,275,1971.74840182648,1462,1972,"A",1,3.80088175262551,NA,NA,-1.32180958916975,0.422793016855488,0.292945741158272,1132.40793172418,0.283143701405234,1305.65171916172
"2",1971-10-02,46.4396280446309,44468,10,276,1971.75114155251,1462,1972,"A",2,3.83815314742274,NA,NA,-1.3384963434837,0.423868687226,0.288378014647942,1157.08329243356,0.282123942053107,1306.57097544475
"3",1971-10-03,50.6871549999325,44469,10,277,1971.75388127854,1462,1972,"A",3,3.9256725254393,NA,NA,-1.37603924740529,0.425617502121863,0.278075651740836,1217.79622035317,0.279421061745281,1324.63280987181
"4",1971-10-04,54.6515134915473,44470,10,278,1971.75662100457,1462,1972,"A",4,4.00097690850343,NA,NA,-1.4087150725143,0.427201386198474,0.269160036207574,1270.94428945586,0.276157801664552,1346.70367105389
"5",1971-10-05,54.3683450278605,44471,10,279,1971.75936073059,1462,1972,"A",5,3.99578209162632,NA,NA,-1.40936891718677,0.427612440697548,0.269065509724387,1263.91505481728,0.274836578618161,1352.90270518613
"6",1971-10-06,57.2000296647283,44472,10,280,1971.76210045662,1462,1972,"A",6,4.04655441699975,NA,NA,-1.4322787185072,0.428850822139086,0.262882203248961,1299.18555280826,0.274217050206837,1347.84810476777
"7",1971-10-07,56.9168612010415,44473,10,281,1971.76484018265,1462,1972,"A",7,4.04159162765762,52.1434499560359,NA,-1.43302309610003,0.429268118353051,0.262772837816149,1292.21612387011,0.273245112885147,1351.25314158377
"8",1971-10-08,58.8990404468489,44474,10,282,1971.76757990868,1462,1972,"A",8,4.07582479929986,54.1660818395128,NA,-1.44935047703563,0.430270829222316,0.258421484206181,1315.07517173137,0.270543178379186,1376.37267054146
"9",1971-10-09,62.580230474777,44475,10,283,1971.7703196347,1462,1972,"A",9,4.1364494211163,56.4718821866766,NA,-1.47616524702291,0.431675762874036,0.251243701463448,1358.45758738817,0.269308881688937,1382.72659135739
"10",1971-10-10,69.0931051395727,44476,10,284,1971.77305936073,1462,1972,"A",10,4.23545494489175,59.1013036351966,NA,-1.5183758371638,0.433929673293363,0.241338556278937,1440.70533301363,0.268550796754682,1386.22754129984
"11",1971-10-11,71.9247897764405,44477,10,285,1971.77579908676,1462,1972,"A",11,4.27562098661708,61.5689145330385,NA,-1.53693144221644,0.435210328667718,0.237283829681033,1474.55333860237,0.267040883314825,1395.00315473602
"12",1971-10-12,71.0752843853802,44478,10,286,1971.77853881279,1462,1972,"A",12,4.26373965873033,63.9556201555413,NA,-1.53473307926641,0.435500555012291,0.237761509664603,1460.0707414827,0.264874112838995,1407.13707914612
"13",1971-10-13,73.0574636311876,44479,10,287,1971.78127853881,1462,1972,"A",13,4.29124630452016,66.2209678650355,NA,-1.54809346374222,0.436553622528133,0.234856185906141,1482.45096329833,0.26432849583956,1410.19642353945
